Start,YLow,YVAL,YPOC,YVAH,YHigh,SessionOpen,HourClose,LinRegAlpha,LinRegBeta,LinRegR2,YNakedLowDistPct,YNakedVALDistPct,YNakedPOCDistPct,YNakedVAHDistPct,YNakedHighDistPct,CrossYLow,CrossYVAL,CrossYPOC,CrossYVAH,CrossYHigh
2018-09-11T00:00:00Z,6235,6275.656565656565,6291.919191919192,6320.959595959596,6349,6311.99,6323.69,6299.934808743169,0.3268991386496243,0.383185123018029,-0.014025039178074765,-0.007595792068149173,-0.005024093224178907,0,0.004002409985309274,true,true,true,true,true
2018-09-12T00:00:00Z,6195,6259,6287,6373,6392,6293,6257.98,6297.772398907103,-0.38461239233120303,0.3780327515263461,-0.010063950348195355,0,0.004637279122017079,0.018379732757215658,0.02141585623475953,false,true,true,false,false
2018-09-13T00:00:00Z,6202,6227.929292929293,6273.686868686868,6302.666666666667,6352,6338.62,6416.07,6367.269114754099,0.9900978049458156,0.49845001366892017,-0.03336466092171683,-0.02932335636467595,-0.022191642440486364,-0.017674890288499463,-0.009985863620565192,false,false,false,false,false
2018-09-14T00:00:00Z,6340,6371.939393939394,6394.484848484848,6482.787878787879,6525,6487.39,6467.62,6497.77863387978,-0.6894904140038881,0.7583219412485865,-0.01973214258104216,-0.01479378906933399,-0.011307892472834188,0.002345202530123769,0.008871887958785475,false,false,false,true,true
2018-09-15T00:00:00Z,6414,6435.666666666667,6449,6530.666666666667,6578,6476.63,6485.22,6491.354961748631,-0.10833203667685444,0.18439012677041366,-0.010981894214845488,-0.007640964120466736,-0.005585007139310656,0.007007729370270664,0.014306376653374865,false,false,false,true,false
2018-09-16T00:00:00Z,6473,6484.030303030303,6498.737373737374,6532.747474747474,6563,6514.96,6510.04,6513.794054644806,-0.1373295359822187,0.21253673966588227,-0.005689673181731597,-0.003995320607814539,-0.0017361838425917952,0.0034880699269857645,0.008135126665888387,true,true,true,false,false
2018-09-17T00:00:00Z,6393,6469.161616161616,6492.79797979798,6517.747474747474,6522,6500.08,6526.81,6515.310972677596,0.26769019171992536,0.5063004933170101,-0.020501592661652537,-0.008832551252202022,-0.005211124607889722,-0.0013885075944490538,0,true,true,true,true,true
2018-09-18T00:00:00Z,6212,6212,6263.878787878788,6383.848484848485,6532,6248.69,6253.08,6239.82593989071,0.3027760489024746,0.48147195227065853,-0.0065695625195903344,-0.0065695625195903344,0.0017269550171736267,0.02091265182094025,0.04460521854829941,false,false,true,true,false
2018-09-19T00:00:00Z,6230,6231.585858585859,6247.444444444444,6296.606060606061,6386,6336.39,6323.35,6331.0256284153,-0.17197610447346873,0.26598915163491765,-0.01476274443135369,-0.014511950376642397,-0.012004009829529603,-0.0042293941334797846,0.009907722963302622,true,true,true,true,true
2018-09-20T00:00:00Z,6145,6148.454545454545,6335,6373,6486,6392,6419.56,6392.9433715847,0.4837557654904173,0.7240180047882335,-0.04276928636853622,-0.04223115829518773,-0.013172242334365657,-0.007252833527531544,0.010349618977001476,false,false,false,true,true
2018-09-21T00:00:00Z,6342,6371.090909090909,6398.242424242424,6438.969696969697,6533,6492,6512.73,6524.319830601091,-0.3143445401500439,0.38318228090609263,-0.026214813142875503,-0.021748036677259854,-0.017579045309351924,-0.011325558257489958,0.0031123660891823304,false,false,false,false,true
2018-09-22T00:00:00Z,6496,6678.949494949495,6707.535353535353,6767.565656565656,6778,6759.01,6797.36,6807.6184207650285,-0.19709335926646435,0.057259583970516115,-0.044334859416008524,-0.01742007265328083,-0.013214637221604613,-0.00438322281508458,-0.002848164581543375,false,true,true,true,true
2018-09-23T00:00:00Z,6635,6668.656565656565,6688.454545454545,6757.747474747474,6830,6723.05,6713.03,6732.8787759562865,-0.34911669908307874,0.6545689288381173,-0.01162366323403884,-0.006610045589463235,-0.0036608587397128725,0.0066612952344134654,0.01742432254883417,false,true,true,true,false
2018-09-24T00:00:00Z,6668,6675.151515151515,6698.989898989899,6733.555555555556,6785,6706.81,6695.09,6703.12619672131,-0.15680327868852148,0.4534026038462492,-0.00404624881816378,-0.002978075701519342,0.0005825013539622555,0.005745338084410442,0.013429244416430527,true,true,true,false,false
2018-09-25T00:00:00Z,6563,6583.121212121212,6616.656565656565,6658.575757575758,6728,6581.42,6511.11,6549.463081967215,-0.6203587107529889,0.5247949439367459,0.00796945528489003,0.011059744363282503,0.016210226160603292,0.022648328407254417,0.033310756537671814,false,false,false,false,false
2018-09-26T00:00:00Z,6342,6370.121212121212,6402.929292929293,6447.454545454545,6573,6445.11,6408,6430.474743169398,-0.3941833842734104,0.6968333561485489,-0.010299625468164793,-0.005911171641508737,-0.0007913088437432434,0.006157076381795418,0.025749063670411985,false,false,true,true,false
2018-09-27T00:00:00Z,6384,6485.313131313132,6502.484848484848,6552.282828282829,6553,6467.84,6508.77,6482.221530054648,0.4688068908030013,0.6293772038387211,-0.019169520508483237,-0.0036038865541214086,-0.00096564351100936,0.006685261314016042,0.006795446758757731,false,true,true,true,true
2018-09-28T00:00:00Z,6436,6441.89898989899,6512.686868686868,6545.131313131313,6727,6689.12,6710.69,6705.934857923497,0.11410086135037362,0.2070668162129058,-0.04093319762945384,-0.04005415390980798,-0.02950562927405844,-0.024670888816006535,0.0024304505199912976,false,false,false,false,true
2018-09-29T00:00:00Z,6547,6623.363636363636,6653.909090909091,6717.545454545455,6798,6634.58,6624.5,6604.039486338798,0.20726035009724697,0.1300605031403368,-0.011698996150652879,0,0.004439443114060079,0.014045656962103548,0.02619065589855838,true,true,false,false,false
2018-09-30T00:00:00Z,6476,6528.333333333333,6591.767676767677,6631.414141414141,6632,6597.66,6577.27,6576.46413661202,-0.02516282300638876,0.00460928111841008,-0.01539696561035208,-0.0074402703046503186,0.002204208853776147,0.00823200832779267,0.008321081542950123,false,false,true,true,true
2018-10-01T00:00:00Z,6548,6584.20202020202,6633.979797979798,6653.212121212121,6659,6626.57,6657,6640.727431693991,0.14982717421506025,0.27711877787311756,-0.0163737419257924,-0.010935553522304292,-0.0034580444675082326,-0.0005690068781551721,0.0003004356316659156,true,true,true,true,true
2018-10-02T00:00:00Z,6523,6577.121212121212,6585.666666666667,6644.060606060606,6663,6610,6589.96,6608.953666666666,-0.3628305084745761,0.728055421549878,-0.010160911447110458,-0.0019482345687664303,-0.0006514961142909921,0.008209549991290687,0.011083527062379736,true,true,true,false,false
2018-10-03T00:00:00Z,6504,6560.030303030303,6614.757575757576,6623.878787878788,6632,6525.79,6539.87,6520.853841530054,0.4550844679077518,0.6938955687536756,-0.0054848185055666075,0.0030826764186907556,0.011450927274942176,0.012845635750984056,0.014087435988788784,true,false,false,false,false
2018-10-04T00:00:00Z,6440,6450.909090909091,6488,6504.363636363636,6547,6510.01,6533.32,6502.753710382513,0.4593770491803282,0.8935143243733816,-0.014283702619801221,-0.012613940399507253,-0.006936748850507814,-0.00443210552006693,0.0020938818242486655,false,false,false,false,true
2018-10-05T00:00:00Z,6506,6582.161616161616,6597.919191919192,6617.616161616162,6635,6591.69,6622.96,6594.142666666668,0.6147118644067829,0.8226980136834057,-0.017659777501298518,-0.0061601434763888544,-0.003780908850545428,-0.000806865568241145,0.0018179182721924886,false,true,true,true,true
2018-10-06T00:00:00Z,6552,6573.010101010101,6588.767676767677,6608.464646464647,6681,6635.65,6629.9,6648.073672131147,-0.43381939427618577,0.755628060366843,-0.011749800147815147,-0.008580808004630378,-0.006204063897241732,-0.003233133763005926,0.007707506900556625,false,true,true,true,false
2018-10-07T00:00:00Z,6569,6574.656565656565,6600.515151515152,6620.717171717171,6648,6596.44,6598.6,6595.068879781422,0.11123006390664297,0.44778844233313175,-0.0044858000181857306,-0.0036285627774732517,0.0002902360372126803,0.003351797611185858,0.007486436516836849,true,true,true,false,false
2018-10-08T00:00:00Z,6531,6556.69696969697,6575.969696969697,6609.161616161616,6636,6615.26,6615.79,6613.555519125685,0.028869408168935067,0.027231477142118377,-0.012816307651845051,-0.008932120019382416,-0.006018979295035509,-0.0010019036031047317,0.003054812803913068,false,false,false,true,true
2018-10-09T00:00:00Z,6589,6589,6605.969696969697,6621.727272727273,6708,6673.01,6671.69,6677.358677595628,-0.002011669908309597,0.0001814822013862516,-0.012394160999686677,-0.012394160999686677,-0.009850623010107275,-0.0074887663054978015,0.005442399152238849,false,false,false,true,false
2018-10-10T00:00:00Z,6611,6639.757575757576,6651.555555555556,6671.464646464647,6683,6656.67,6643.45,6651.96262295082,-0.16578382884134615,0.5063725105591289,-0.004884510307144604,-0.0005557992071023099,0.001220082269838087,0.004216882262175049,0.005953232130895872,true,true,false,false,false
